epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,49.5329,0.57299,1.2017,0.79485,0.92959,0.78821,0.63384,0.61449,0.53575,0.78326,0.62961,0.60602,0.46015,0.54478,1.32446,0.61493,0.81477,0.0005644,0.0005644,0.0005644
46,50.3033,0.5611,1.15989,0.727,0.91483,0.78163,0.64536,0.63224,0.54427,0.76145,0.62415,0.59802,0.46934,0.54138,1.3435,0.62728,0.81934,0.0005545,0.0005545,0.0005545
47,51.0756,0.55163,1.1114,0.70085,0.90813,0.79153,0.63815,0.64848,0.56064,0.77629,0.62168,0.62134,0.4929,0.51015,1.09221,0.59926,0.79556,0.0005446,0.0005446,0.0005446
48,51.9356,0.54299,1.09891,0.69699,0.9213,0.80005,0.65058,0.64777,0.5689,0.79039,0.64106,0.63226,0.4988,0.51051,1.10256,0.59339,0.7989,0.0005347,0.0005347,0.0005347
49,52.7246,0.55738,1.14515,0.72311,0.92832,0.82781,0.60715,0.65642,0.57536,0.80347,0.58334,0.61743,0.50026,0.50532,1.22774,0.58347,0.79841,0.0005248,0.0005248,0.0005248
50,53.5105,0.56374,1.09873,0.69874,0.91045,0.85027,0.61637,0.66745,0.56959,0.82857,0.59504,0.62941,0.50263,0.51683,1.28861,0.58997,0.79566,0.0005149,0.0005149,0.0005149
51,54.2829,0.54785,1.06526,0.71716,0.90906,0.77459,0.64761,0.64395,0.54348,0.75801,0.62756,0.61459,0.48074,0.51329,1.2197,0.62155,0.79368,0.000505,0.000505,0.000505
52,55.0937,0.57671,1.12483,0.78114,0.92239,0.83414,0.59338,0.81086,0.65096,0.8267,0.57709,0.78977,0.59531,0.46355,1.17298,0.60192,0.7804,0.0004951,0.0004951,0.0004951
53,55.8819,0.54426,1.06482,0.7003,0.89984,0.80269,0.66499,0.80328,0.65062,0.78032,0.6461,0.7682,0.5864,0.45052,1.15266,0.57221,0.7754,0.0004852,0.0004852,0.0004852
54,56.6594,0.56537,1.07723,0.73676,0.92104,0.85934,0.65413,0.82438,0.65174,0.83641,0.63508,0.79071,0.57713,0.45176,1.10704,0.5681,0.77363,0.0004753,0.0004753,0.0004753
55,57.5326,0.53906,1.11232,0.72375,0.92881,0.85708,0.62025,0.6797,0.57556,0.83372,0.6016,0.64117,0.5048,0.46789,1.16111,0.60585,0.7735,0.0004654,0.0004654,0.0004654
56,58.3339,0.52757,0.9837,0.71856,0.91,0.86369,0.61253,0.66289,0.57317,0.85196,0.603,0.63586,0.50146,0.43698,1.18812,0.58846,0.77794,0.0004555,0.0004555,0.0004555
57,59.0864,0.53823,1.13431,0.69217,0.90744,0.87668,0.59448,0.66334,0.58136,0.86483,0.58432,0.6333,0.50678,0.44375,1.14183,0.58646,0.78079,0.0004456,0.0004456,0.0004456
58,59.8678,0.49768,0.9791,0.72212,0.91467,0.87409,0.59372,0.6577,0.57996,0.8509,0.57284,0.61595,0.49278,0.44797,1.19717,0.58189,0.78323,0.0004357,0.0004357,0.0004357
59,60.6085,0.49798,0.97572,0.69541,0.90567,0.86679,0.58701,0.65694,0.59285,0.85129,0.57483,0.6251,0.50616,0.464,1.05024,0.57043,0.7836,0.0004258,0.0004258,0.0004258
60,61.3874,0.48955,0.99508,0.63453,0.91035,0.90214,0.58899,0.66469,0.60358,0.91123,0.5958,0.67039,0.53159,0.43675,0.90926,0.53115,0.77584,0.0004159,0.0004159,0.0004159
61,62.1768,0.49853,0.96281,0.70056,0.90147,0.85709,0.61426,0.6672,0.60702,0.85141,0.61182,0.65093,0.52918,0.44321,0.87449,0.5297,0.7757,0.000406,0.000406,0.000406
62,63.0454,0.50856,0.93451,0.69294,0.89755,0.87399,0.60102,0.66138,0.5857,0.8683,0.59856,0.64136,0.51661,0.44094,0.87704,0.52347,0.7711,0.0003961,0.0003961,0.0003961
63,63.827,0.48777,1.05348,0.64458,0.90638,0.89695,0.59888,0.68471,0.58957,0.89358,0.5963,0.6419,0.51151,0.45431,1.10969,0.52245,0.77799,0.0003862,0.0003862,0.0003862
64,64.5994,0.50636,1.06289,0.70878,0.90529,0.80746,0.66432,0.69892,0.58956,0.78658,0.64514,0.62026,0.51317,0.44014,1.33931,0.52499,0.77955,0.0003763,0.0003763,0.0003763
65,65.3729,0.49944,1.03859,0.68142,0.89974,0.88608,0.58132,0.70118,0.62121,0.868,0.56703,0.67612,0.55689,0.43421,0.93575,0.53013,0.77445,0.0003664,0.0003664,0.0003664
66,66.1417,0.48031,1.03202,0.69904,0.89069,0.82821,0.6286,0.80863,0.73676,0.82821,0.6286,0.80417,0.67098,0.44469,0.95886,0.51846,0.77416,0.0003565,0.0003565,0.0003565
67,67.0519,0.49689,1.03627,0.65605,0.89751,0.78743,0.67331,0.81982,0.75934,0.78743,0.67331,0.81669,0.68407,0.43691,1.05963,0.50961,0.7795,0.0003466,0.0003466,0.0003466
68,67.8492,0.50934,1.04524,0.68025,0.89193,0.80167,0.63333,0.73175,0.65815,0.80167,0.63333,0.72644,0.58625,0.44643,0.96526,0.52544,0.78806,0.0003367,0.0003367,0.0003367
69,68.6374,0.49408,1.06859,0.65457,0.90846,0.80026,0.64091,0.65785,0.59706,0.79981,0.63848,0.6528,0.53054,0.44322,0.93095,0.52671,0.79538,0.0003268,0.0003268,0.0003268
70,69.4563,0.48306,1.03139,0.66357,0.90511,0.8108,0.68467,0.64497,0.59468,0.80192,0.67655,0.6351,0.51708,0.38797,0.92808,0.50853,0.77894,0.0003169,0.0003169,0.0003169
71,70.2487,0.47826,0.97402,0.63585,0.89089,0.81449,0.66651,0.64824,0.59484,0.80347,0.6527,0.63332,0.51975,0.39715,0.95291,0.52145,0.77986,0.000307,0.000307,0.000307
72,71.0363,0.47053,0.96511,0.66702,0.89755,0.8663,0.62275,0.69644,0.63515,0.8663,0.62275,0.6886,0.56702,0.40296,0.99591,0.52715,0.77381,0.0002971,0.0002971,0.0002971
73,71.926,0.46815,0.95078,0.66395,0.89125,0.85651,0.629,0.70331,0.64389,0.85164,0.62483,0.69543,0.58436,0.39308,0.9505,0.51601,0.76469,0.0002872,0.0002872,0.0002872
74,72.6902,0.48242,0.86958,0.64493,0.89868,0.85499,0.62695,0.69064,0.63432,0.85594,0.62972,0.69658,0.57571,0.42627,0.94391,0.51668,0.77876,0.0002773,0.0002773,0.0002773
75,73.4559,0.48022,0.99117,0.64753,0.90035,0.80295,0.69637,0.67731,0.62887,0.79798,0.69117,0.66776,0.55532,0.42087,0.97212,0.49597,0.76586,0.0002674,0.0002674,0.0002674
76,74.2414,0.47074,0.89303,0.61871,0.89438,0.79758,0.7159,0.68091,0.62138,0.78033,0.69666,0.66434,0.54242,0.41396,0.99645,0.50258,0.7698,0.0002575,0.0002575,0.0002575
77,75.0012,0.47246,0.98517,0.65303,0.8992,0.80466,0.69038,0.68404,0.62832,0.79692,0.68334,0.67216,0.55587,0.41706,1.00292,0.51123,0.76841,0.0002476,0.0002476,0.0002476
78,75.7647,0.4528,0.92574,0.63695,0.8921,0.82692,0.67805,0.68771,0.62571,0.82602,0.67534,0.68689,0.56446,0.43516,1.03475,0.50822,0.76785,0.0002377,0.0002377,0.0002377
79,76.6429,0.46234,0.97553,0.60389,0.88657,0.89341,0.60539,0.67685,0.61457,0.89601,0.60741,0.67775,0.5566,0.44372,1.09614,0.5058,0.7684,0.0002278,0.0002278,0.0002278
80,77.4439,0.46597,0.86802,0.62111,0.89501,0.87725,0.64492,0.69273,0.63692,0.88017,0.64051,0.6946,0.57395,0.39215,1.12743,0.48491,0.76208,0.0002179,0.0002179,0.0002179
81,78.2504,0.47014,1.00225,0.63275,0.89694,0.87684,0.65158,0.70964,0.65702,0.87792,0.65332,0.71196,0.59329,0.37951,1.11184,0.48314,0.76458,0.000208,0.000208,0.000208
82,79.0414,0.45509,0.88067,0.59999,0.88712,0.86778,0.6499,0.69899,0.64229,0.86247,0.64514,0.68994,0.57856,0.40533,1.09944,0.47822,0.76914,0.0001981,0.0001981,0.0001981
83,79.8174,0.46839,0.9707,0.6195,0.90336,0.85774,0.63449,0.68955,0.63277,0.85239,0.62973,0.68434,0.57697,0.41292,1.0947,0.47281,0.77157,0.0001882,0.0001882,0.0001882
84,80.6092,0.45212,0.98528,0.618,0.89378,0.85086,0.64037,0.68749,0.6258,0.84552,0.6356,0.67898,0.56245,0.373,1.0434,0.47731,0.7643,0.0001783,0.0001783,0.0001783
85,81.3875,0.45051,0.8914,0.62628,0.8913,0.84893,0.63995,0.68935,0.62654,0.8365,0.62825,0.66953,0.5579,0.36611,1.01884,0.48108,0.76275,0.0001684,0.0001684,0.0001684
86,82.262,0.45927,0.91489,0.61295,0.89477,0.84849,0.63976,0.69186,0.62874,0.83593,0.62808,0.67141,0.56324,0.36525,1.04494,0.4787,0.76315,0.0001585,0.0001585,0.0001585
87,83.0803,0.45512,0.87537,0.6097,0.8948,0.88337,0.626,0.69051,0.62837,0.87001,0.61467,0.66893,0.5614,0.36887,1.05811,0.46978,0.7647,0.0001486,0.0001486,0.0001486
88,83.9207,0.45782,0.99366,0.61922,0.89668,0.94222,0.59685,0.69298,0.64262,0.93618,0.59209,0.68378,0.57119,0.36338,1.01713,0.46787,0.76437,0.0001387,0.0001387,0.0001387
89,84.7628,0.44827,0.94859,0.61314,0.89186,0.91005,0.59792,0.6796,0.6297,0.90402,0.59316,0.67017,0.56036,0.36936,0.97516,0.47185,0.76582,0.0001288,0.0001288,0.0001288
90,85.6075,0.4374,0.92226,0.58775,0.86963,0.83535,0.67225,0.67712,0.6271,0.83004,0.66749,0.66816,0.55824,0.36045,0.92345,0.47039,0.76312,0.0001189,0.0001189,0.0001189
91,87.0185,0.4108,0.84298,0.61918,0.84109,0.88563,0.61745,0.69544,0.64474,0.87981,0.61287,0.68198,0.56996,0.36163,0.9556,0.47317,0.76045,0.000109,0.000109,0.000109
92,87.9935,0.38261,0.85391,0.58515,0.84084,0.90372,0.62475,0.69527,0.64895,0.89792,0.61999,0.68104,0.57064,0.36498,1.03889,0.49537,0.75447,9.91e-05,9.91e-05,9.91e-05
93,88.8129,0.37348,0.82674,0.56267,0.83577,0.894,0.61915,0.68535,0.63793,0.88256,0.60963,0.66493,0.56101,0.36672,1.08707,0.51563,0.75076,8.92e-05,8.92e-05,8.92e-05
94,89.6508,0.35872,0.81275,0.55385,0.82553,0.89854,0.61779,0.68142,0.63764,0.88687,0.60827,0.66206,0.55668,0.3617,1.11459,0.52361,0.74986,7.93e-05,7.93e-05,7.93e-05
95,90.4739,0.36642,0.81909,0.56574,0.82249,0.91555,0.61995,0.68475,0.63896,0.90961,0.61518,0.67239,0.56596,0.35566,1.07152,0.5334,0.74889,6.94e-05,6.94e-05,6.94e-05
96,91.3095,0.3683,0.79373,0.53868,0.83909,0.86034,0.62569,0.64849,0.60253,0.8546,0.62093,0.63679,0.53197,0.35187,1.00052,0.53852,0.74814,5.95e-05,5.95e-05,5.95e-05
97,92.143,0.36008,0.77855,0.55844,0.82871,0.86827,0.62866,0.64626,0.59766,0.8624,0.6239,0.63466,0.53234,0.35112,0.96411,0.53453,0.74837,4.96e-05,4.96e-05,4.96e-05
98,92.9637,0.35555,0.79193,0.53451,0.8318,0.87958,0.59931,0.64499,0.60006,0.87364,0.59455,0.63384,0.52714,0.34629,0.95916,0.53285,0.74798,3.97e-05,3.97e-05,3.97e-05
99,93.8719,0.34152,0.71958,0.52531,0.82936,0.85277,0.62898,0.64619,0.60144,0.84697,0.62422,0.63491,0.52599,0.34234,0.96399,0.53008,0.74802,2.98e-05,2.98e-05,2.98e-05
100,94.6967,0.35409,0.77802,0.52471,0.8313,0.90032,0.62357,0.66487,0.62306,0.8935,0.61885,0.65394,0.54484,0.33924,0.98111,0.5239,0.74765,1.99e-05,1.99e-05,1.99e-05
