epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,47.1597,0.59988,0.8411,0.60983,0.93409,0.90015,0.93541,0.90331,0.80279,0.90015,0.93541,0.90327,0.72509,0.50434,0.82554,0.51195,0.79315,0.000742625,0.000742625,0.000742625
43,47.9263,0.5496,0.81364,0.57679,0.92292,0.91032,0.9341,0.92386,0.81144,0.91032,0.9341,0.92447,0.75644,0.48599,0.65205,0.48655,0.77933,0.00073025,0.00073025,0.00073025
44,48.7671,0.57365,0.81033,0.57873,0.93111,0.90149,0.93068,0.9197,0.81824,0.90149,0.93068,0.92022,0.73851,0.50619,0.76632,0.55226,0.77523,0.000717875,0.000717875,0.000717875
45,49.5229,0.55852,0.83891,0.57199,0.91656,0.90221,0.92484,0.91859,0.81208,0.90929,0.93291,0.93667,0.72844,0.53304,1.04348,0.56003,0.796,0.0007055,0.0007055,0.0007055
46,50.3094,0.55173,0.8181,0.56203,0.91119,0.88409,0.93158,0.91793,0.80761,0.89108,0.93964,0.93386,0.75012,0.49915,0.76518,0.55624,0.78568,0.000693125,0.000693125,0.000693125
47,51.0751,0.5477,0.82611,0.56582,0.91579,0.89044,0.93369,0.91793,0.81529,0.89759,0.94175,0.93508,0.75427,0.46832,0.64052,0.49258,0.78019,0.00068075,0.00068075,0.00068075
48,51.9759,0.53885,0.83921,0.56176,0.91088,0.93306,0.90493,0.92605,0.82361,0.93306,0.90493,0.92563,0.77555,0.48751,0.64037,0.49289,0.78196,0.000668375,0.000668375,0.000668375
49,52.7629,0.54941,0.79248,0.55016,0.92092,0.90752,0.95274,0.94548,0.82825,0.90047,0.94474,0.92807,0.77283,0.50454,0.67615,0.47678,0.7998,0.000656,0.000656,0.000656
50,53.5271,0.5511,0.81841,0.54929,0.90851,0.90792,0.94885,0.94161,0.83374,0.90088,0.94078,0.92404,0.78125,0.48818,0.79471,0.44279,0.78498,0.000643625,0.000643625,0.000643625
51,54.3021,0.53524,0.85332,0.5346,0.91667,0.90816,0.94778,0.93333,0.8176,0.90816,0.94778,0.93333,0.78009,0.49168,0.64818,0.4444,0.77302,0.00063125,0.00063125,0.00063125
52,55.0654,0.55826,0.86836,0.56314,0.91722,0.90835,0.94722,0.93248,0.82305,0.90835,0.94722,0.93225,0.7568,0.4618,0.66116,0.4535,0.76358,0.000618875,0.000618875,0.000618875
53,55.8118,0.5319,0.76821,0.52875,0.90223,0.90722,0.94678,0.9269,0.80112,0.90722,0.94678,0.92738,0.74403,0.48973,0.72632,0.44797,0.77188,0.0006065,0.0006065,0.0006065
54,56.5565,0.55075,0.75577,0.54616,0.9154,0.89865,0.94782,0.91717,0.79475,0.89865,0.94782,0.91746,0.73887,0.49445,0.69032,0.47141,0.77047,0.000594125,0.000594125,0.000594125
55,57.3265,0.51797,0.76726,0.53647,0.92293,0.90036,0.94685,0.921,0.79703,0.90036,0.94685,0.921,0.74374,0.48356,0.65699,0.45431,0.77284,0.00058175,0.00058175,0.00058175
56,58.2169,0.50266,0.70626,0.50972,0.90656,0.8983,0.94769,0.93046,0.81543,0.8983,0.94769,0.93037,0.75675,0.45396,0.68924,0.45654,0.77153,0.000569375,0.000569375,0.000569375
57,58.9981,0.53079,0.77337,0.53379,0.91198,0.89015,0.94361,0.92849,0.81145,0.89015,0.94361,0.92838,0.76231,0.45506,0.64319,0.46331,0.76863,0.000557,0.000557,0.000557
58,59.7513,0.48227,0.69524,0.52656,0.90176,0.88953,0.93366,0.90558,0.80396,0.89676,0.9417,0.92282,0.75671,0.47121,0.61356,0.44532,0.77656,0.000544625,0.000544625,0.000544625
59,60.521,0.49935,0.72449,0.49783,0.90064,0.89032,0.93112,0.8937,0.79684,0.89758,0.93919,0.91278,0.74336,0.47112,0.6354,0.43647,0.77243,0.00053225,0.00053225,0.00053225
60,61.3047,0.48974,0.76728,0.50169,0.90512,0.91342,0.94225,0.91622,0.81146,0.90615,0.93419,0.89688,0.74532,0.45989,0.62218,0.44199,0.78497,0.000519875,0.000519875,0.000519875
61,62.0655,0.48991,0.6945,0.51492,0.90099,0.91331,0.94713,0.92362,0.82056,0.91331,0.94713,0.92362,0.76122,0.44247,0.6421,0.43339,0.76786,0.0005075,0.0005075,0.0005075
62,62.8327,0.49706,0.70498,0.5227,0.89631,0.9072,0.92971,0.9116,0.82626,0.91427,0.93778,0.93102,0.7662,0.39816,0.63593,0.43065,0.75478,0.000495125,0.000495125,0.000495125
63,63.6071,0.47821,0.74964,0.48336,0.91186,0.90337,0.94744,0.93037,0.82757,0.90337,0.94744,0.93028,0.75771,0.40132,0.67088,0.43309,0.75591,0.00048275,0.00048275,0.00048275
64,64.5004,0.48297,0.78687,0.51149,0.91016,0.91017,0.94718,0.93374,0.83682,0.91017,0.94718,0.93374,0.75408,0.39929,0.65894,0.42537,0.75798,0.000470375,0.000470375,0.000470375
65,65.251,0.48365,0.72224,0.50832,0.89027,0.90377,0.93879,0.90991,0.82748,0.90377,0.93879,0.92074,0.7504,0.41167,0.65598,0.42509,0.76626,0.000458,0.000458,0.000458
66,66.0172,0.49532,0.74553,0.51801,0.8992,0.90324,0.93849,0.91273,0.81804,0.91037,0.94656,0.92936,0.74817,0.43747,0.6745,0.42946,0.76362,0.000445625,0.000445625,0.000445625
67,66.7874,0.49766,0.76809,0.50066,0.90242,0.90923,0.94558,0.92952,0.81158,0.90923,0.94558,0.92952,0.7446,0.46833,0.72956,0.43534,0.77127,0.00043325,0.00043325,0.00043325
68,67.6174,0.49483,0.74137,0.50811,0.89337,0.90057,0.92859,0.92151,0.8241,0.90779,0.93664,0.93785,0.76018,0.41547,0.64056,0.41213,0.75642,0.000420875,0.000420875,0.000420875
69,68.3831,0.49759,0.73184,0.49571,0.91164,0.90638,0.9476,0.94226,0.8369,0.90638,0.9476,0.94212,0.77047,0.41721,0.60699,0.40466,0.75764,0.0004085,0.0004085,0.0004085
70,69.1589,0.48001,0.6914,0.51063,0.89794,0.89793,0.94086,0.92834,0.83928,0.90502,0.94893,0.94408,0.78421,0.40047,0.58395,0.3972,0.75898,0.000396125,0.000396125,0.000396125
71,70.0175,0.48261,0.7835,0.48785,0.89704,0.9025,0.94133,0.93392,0.84182,0.90958,0.94939,0.9495,0.79578,0.41593,0.67233,0.41622,0.77425,0.00038375,0.00038375,0.00038375
72,70.815,0.4565,0.71719,0.49196,0.89449,0.92339,0.94109,0.94755,0.83776,0.92339,0.94109,0.94736,0.80296,0.44295,0.59328,0.41402,0.77477,0.000371375,0.000371375,0.000371375
73,71.7114,0.46383,0.71459,0.48356,0.9,0.9198,0.94547,0.94819,0.83813,0.91269,0.93741,0.9306,0.7904,0.41125,0.57729,0.39836,0.76527,0.000359,0.000359,0.000359
74,72.4894,0.48384,0.69241,0.47835,0.90576,0.92773,0.93888,0.9483,0.83216,0.92059,0.93082,0.93093,0.78002,0.43994,0.5989,0.41296,0.77647,0.000346625,0.000346625,0.000346625
